epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,9911.36,1.07415,0.99598,1.36141,0.65069,0.66915,0.69306,0.53783,0.95698,1.23098,1.3719,0.000157515,0.000157515,0.000157515
99,10015.9,1.07723,1.00334,1.37093,0.62277,0.69514,0.69329,0.54993,0.92403,1.15755,1.35417,0.000156015,0.000156015,0.000156015
100,10115.3,1.06573,1.00209,1.36261,0.68625,0.60986,0.68075,0.53149,0.9245,1.26385,1.35253,0.000154515,0.000154515,0.000154515
101,10216.7,1.07204,0.99696,1.36166,0.64309,0.68092,0.68964,0.54181,0.93377,1.26275,1.34716,0.000153015,0.000153015,0.000153015
102,10316.8,1.05967,0.97165,1.35242,0.62222,0.67532,0.68007,0.53413,0.95545,1.27241,1.37163,0.000151515,0.000151515,0.000151515
103,10416.6,1.06269,0.98731,1.36005,0.63523,0.64735,0.68164,0.53998,0.93637,1.30509,1.35047,0.000150015,0.000150015,0.000150015
104,10518.7,1.06068,0.98274,1.36256,0.67677,0.65061,0.69109,0.54412,0.94392,1.24838,1.37591,0.000148515,0.000148515,0.000148515
105,10619,1.05443,0.96509,1.3485,0.64292,0.70213,0.70216,0.55718,0.93888,1.23956,1.36958,0.000147016,0.000147016,0.000147016
106,10726.4,1.06173,0.96585,1.34612,0.61299,0.67296,0.67616,0.53422,0.92681,1.32295,1.35148,0.000145516,0.000145516,0.000145516
107,10824.9,1.05556,0.9623,1.35365,0.61069,0.63544,0.6696,0.53382,0.94193,1.26452,1.36847,0.000144016,0.000144016,0.000144016
108,10923.7,1.06347,0.98075,1.35501,0.63857,0.67233,0.67902,0.53756,0.92273,1.28333,1.34917,0.000142516,0.000142516,0.000142516
109,11022,1.03693,0.96255,1.34608,0.62518,0.66323,0.67737,0.53719,0.92814,1.28935,1.34543,0.000141016,0.000141016,0.000141016
110,11121.6,1.04105,0.94861,1.34477,0.6433,0.6909,0.6878,0.54124,0.94188,1.22279,1.35517,0.000139516,0.000139516,0.000139516
111,11220.4,1.03317,0.947,1.3318,0.62131,0.69388,0.68844,0.5454,0.92145,1.23885,1.35343,0.000138016,0.000138016,0.000138016
112,11320.6,1.04129,0.93209,1.33997,0.63771,0.64874,0.67356,0.52883,0.9417,1.29807,1.37161,0.000136517,0.000136517,0.000136517
113,11419.6,1.03019,0.92501,1.33137,0.67759,0.63119,0.68814,0.54018,0.93823,1.26179,1.34674,0.000135017,0.000135017,0.000135017
114,11519.1,1.03687,0.92459,1.33688,0.58745,0.69216,0.66106,0.52244,0.92797,1.3763,1.34392,0.000133517,0.000133517,0.000133517
115,11618.4,1.03399,0.94627,1.3369,0.63069,0.6001,0.66015,0.5199,0.93308,1.3366,1.36319,0.000132017,0.000132017,0.000132017
116,11718.4,1.01897,0.90843,1.33068,0.66735,0.61105,0.66589,0.52707,0.93518,1.34919,1.36145,0.000130517,0.000130517,0.000130517
117,11817.9,1.02256,0.90585,1.32632,0.65445,0.64339,0.68693,0.54242,0.93505,1.29811,1.36381,0.000129017,0.000129017,0.000129017
118,11916.4,1.01727,0.90946,1.32106,0.58353,0.70035,0.68807,0.54357,0.94435,1.2833,1.37238,0.000127518,0.000127518,0.000127518
119,12014.4,1.01252,0.91516,1.31859,0.62891,0.67989,0.67903,0.53917,0.95086,1.24054,1.35785,0.000126018,0.000126018,0.000126018
120,12112.7,1.0048,0.89193,1.31253,0.61794,0.65079,0.65907,0.52581,0.93369,1.39422,1.35297,0.000124518,0.000124518,0.000124518
121,12213.4,1.00012,0.90009,1.31726,0.63917,0.65327,0.68314,0.5395,0.93337,1.30731,1.36501,0.000123018,0.000123018,0.000123018
122,12313.9,1.01059,0.89726,1.32266,0.61169,0.67724,0.66949,0.53136,0.92397,1.36918,1.36196,0.000121518,0.000121518,0.000121518
123,12413.8,0.9994,0.88622,1.31229,0.63,0.65732,0.69064,0.545,0.92918,1.31961,1.35657,0.000120018,0.000120018,0.000120018
124,12512.8,1.00682,0.88101,1.31014,0.61611,0.66209,0.67015,0.53391,0.93569,1.39146,1.35748,0.000118518,0.000118518,0.000118518
